"SC","名称","市場","業種","時価総額（百万円）","発行済株式数","配当利回り（予想）","1株配当（予想）","PER（予想）","PBR（実績）","EPS（予想）","BPS（実績）","最低購入額","単元株","高値日付","年初来高値","安値日付","年初来安値"
"0001","日経平均株価（日経225）","東証","株価指数","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証PR","水産・農林","40052","10928283","2.46","90","6.55","0.83","559.88","4436.27","366500","100","20230203","3930","20230320","3370"
"1332","ニッスイ","東証PR","水産・農林","200611","312430277","3.11","20","9.3","0.92","69.08","696.72","64210","100","20230612","651.8","20230113","517"
"1333","マルハニチロ","東証PR","水産・農林","125233","50578837","2.83","70","6.75","0.7","366.69","3534.39","247600","100","20230516","2635","20230320","2333"
"1375","雪国まいたけ","東証PR","水産・農林","38554","39910700","0.21","2","318.81","3.7","3.03","261.08","96600","100","20230307","1057","20230531","950"
"1376","カネコ種苗","東証ST","水産・農林","17294","11772626","1.97","29","13.59","0.75","108.12","1970.41","146900","100","20230404","1709","20230105","1400"
"1377","サカタのタネ","東証PR","水産・農林","192014","47410750","1.23","50","21.13","1.35","191.66","2991.31","405000","100","20230104","4330","20230411","3765"
"1379","ホクト","東証PR","水産・農林","62582","33359040","-","-","84.85","1.17","22.11","1609.46","187600","100","20230131","1902","20230413","1805"
"1380","秋川牧園","東証ST","水産・農林","4346","4179000","0.96","10","43.35","2.03","23.99","512.11","104000","100","20230116","1071","20230607","1038"
"1381","アクシーズ","東証ST","水産・農林","17555","5617500","3.04","95","17.55","0.91","178.07","3419.14","312500","100","20230515","3160","20230217","2828"
"1382","ホーブ","東証ST","水産・農林","1366","762000","2.79","50","10.42","1.76","171.98","1020.25","179200","100","20230314","2095","20230111","1664"
"1383","ベルグアース","東証ST","水産・農林","4900","1560500","0.32","10","75.03","3.22","41.85","974.37","314000","100","20230403","3475","20230104","2886"
"1384","ホクリヨウ","東証ST","水産・農林","7740","8459000","2.19","20","7","0.72","130.75","1270.49","91500","100","20230213","972","20230104","702"
"1400","ルーデン・ホールディングス","東証GR","建設","1639","13008600","0","0","15.91","0.7","7.92","180.27","12600","100","20230221","187","20230206","98"
"1401","エムビーエス","東証GR","建設","3928","7732000","1.18","6","11.33","1.24","44.83","408.13","50800","100","20230612","510","20230113","466"
"1407","ウエストホールディングス","東証ST","建設","121282","46027488","2.09","55","14.8","4.06","178.05","649.01","263500","100","20230113","4730","20230608","2518"
"1414","ショーボンドホールディングス","東証PR","建設","325093","56745180","2.18","125","23.92","3.2","239.54","1789.41","572900","100","20230510","5920","20230217","5170"
"1417","ミライト・ワン","東証PR","建設","182989","103325329","3.67","65","9.44","0.69","187.68","2573.5","177100","100","20230523","1825","20230213","1468"
"1418","インターライフホールディングス","東証ST","建設","4182","20010529","2.39","5","16.19","0.99","12.91","211.77","20900","100","20230417","318","20230316","159"
"1419","タマホーム","東証PR","建設","102801","29455800","4.87","170","11.74","3.23","297.15","1079.43","349000","100","20230529","4125","20230110","2422"
"1420","サンヨーホームズ","東証ST","建設","9011","12620000","3.5","25","11.32","0.55","63.08","1308.19","71400","100","20230127","790","20230412","701"
"1429","日本アクア","東証PR","建設","30936","34760000","3.37","30","15.27","3.62","58.28","246.18","89000","100","20230210","993","20230117","774"
"1430","ファーストコーポレーション","東証PR","建設","10357","13363540","4.52","35","6.97","1.23","111.13","629.83","77500","100","20230509","963","20230113","698"
"1431","Lib_Work","東証GR","建設","19216","23292040","0.78","6.4","117.86","5.72","7","144.19","82500","100","20230417","839","20230106","748"
"1433","ベステラ","東証PR","建設","9970","8990200","1.8","20","24.57","2.6","45.14","426.47","110900","100","20230612","1109","20230314","851"
"1434","JESCOホールディングス","東証ST","建設","3622","6833400","3.02","16","5.79","0.72","91.6","732.55","53000","100","20230612","532","20230104","439"
"1435","Robot_Home","東証PR","建設","17223","91127000","1.06","2","21.24","2.07","8.9","91.11","18900","100","20230414","258","20230106","158"
"1436","フィット","東証GR","建設","3963","4284200","1.08","10","11.78","0.81","78.52","1137.93","92500","100","20230411","1286","20230104","656"
"1438","岐阜造園","東証ST","建設","3810","3204600","2.1","25","13.27","1.12","89.59","1065.46","118900","100","20230511","1445","20230112","994"
"1439","安江工務店","東証ST","建設","1429","1350760","2.84","30","10.24","0.89","103.29","1183.65","105800","100","20230203","1796","20230314","942"
"1443","技研ホールディングス","東証ST","建設","3621","16237977","0.45","1","11.31","0.38","19.71","587.33","22300","100","20230130","313","20230105","203"
"1444","ニッソウ","東証GR","建設","2793","1088700","0","0","22.63","1.88","113.35","1360.8","256500","100","20230524","2698","20230130","1954"
"1446","キャンディル","東証ST","建設","6161","10734200","1.05","6","38.99","1.97","14.72","292","57400","100","20230508","585","20230130","492"
"1447","ITbookホールディングス","東証GR","建設","9371","24152701","0","0","18.73","3.41","20.72","113.84","38800","100","20230221","436","20230106","358"
"1450","田中建設工業","東証ST","建設","10135","4349800","3.13","73","10.72","1.63","217.27","1429.41","233000","100","20230329","2780","20230515","2150"
"1451","KHC","東証ST","建設","2583","3985350","5.4","35","8.39","0.42","77.24","1549.17","64800","100","20230309","654","20230106","603"
"1491","中外鉱業","東証ST","非鉄金属","8692","289747982","-","-","18.4","1.2","1.63","24.9","3000","100","20230512","36","20230104","28"
"1514","住石ホールディングス","東証ST","鉱業","22320","58892853","1.98","7.5","5.6","1.13","67.65","335.34","37900","100","20230124","464","20230403","303"
"1515","日鉄鉱業","東証PR","鉱業","66317","16704638","2.52","100","12.01","0.5","330.6","7955.03","397000","100","20230523","4070","20230105","3130"
"1518","三井松島ホールディングス","東証PR","鉱業","34555","13064400","3.02","80","3.12","0.62","846.57","4292.78","264500","100","20230221","4105","20230612","2617"
"1605","INPEX","東証PR","鉱業","2188161","1386667167","4.06","64","6.87","0.53","229.71","2986.33","157800","100","20230608","1612","20230105","1301"
"1662","石油資源開発","東証PR","鉱業","234848","54300076","4.62","200","6.9","0.55","627","7849.18","432500","100","20230307","5230","20230105","3590"
"1663","K＆Oエナジーグループ","東証PR","鉱業","65315","28336061","1.48","34","14.26","0.72","161.6","3206.3","230500","100","20230424","2539","20230106","1887"
"1711","SDSホールディングス","東証ST","建設","2620","8732773","0","0","-","4.79","-13.74","62.61","30000","100","20230125","376","20230516","242"
"1712","ダイセキ環境ソリューション","東証PR","建設","18089","16827120","0.93","10","20.3","1.21","52.96","884.84","107500","100","20230612","1083","20230407","793"
"1716","第一カッター興業","東証PR","建設","15816","12000000","2.2","29","9.82","0.93","134.16","1422.19","131800","100","20230612","1331","20230116","1000"
"1717","明豊ファシリティワークス","東証ST","サービス","9633","12775900","4.24","32","12.97","1.89","58.12","399.63","75400","100","20230308","830","20230116","690"
"1718","美樹工業","東証ST","建設","5132","1153263","3.6","160","8.11","0.33","548.86","13663.78","445000","100","20230529","4515","20230117","3800"
"1719","安藤・間","東証PR","建設","192063","181021197","5.66","60","12.21","1.18","86.92","897.84","106100","100","20230612","1070","20230106","819"
"1720","東急建設","東証PR","建設","78042","106761205","4.92","36","19.21","0.81","38.05","905.99","73100","100","20230511","761","20230105","624"
"1721","コムシスホールディングス","東証PR","建設","372467","133000000","3.75","105","14.71","0.99","190.43","2824.12","280050","100","20230523","2869","20230104","2277"
"1723","日本電技","東証ST","建設","33118","8197500","3.96","160","10.11","1.04","399.48","3879.63","404000","100","20230612","4125","20230104","3090"
